Policy Area,Dataset,Variable,Year,Count,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Environment,Air Quality,PM2.5 Concentration,2014,9.90964252,"Census Tract 1066.03, Los Angeles County, California",106603,Granada Hills,1400000US06037106603,"(34.3189225, -118.5218285)",PM2.5_Concentration_2014_1400000US06037106603,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.17365256,"Census Tract 1066.04, Los Angeles County, California",106604,Sylmar,1400000US06037106604,"(34.3042795, -118.474247)",PM2.5_Concentration_2014_1400000US06037106604,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.13513539,"Census Tract 1066.41, Los Angeles County, California",106641,Granada Hills,1400000US06037106641,"(34.298025, -118.509153)",PM2.5_Concentration_2014_1400000US06037106641,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.25701916,"Census Tract 1066.42, Los Angeles County, California",106642,Granada Hills,1400000US06037106642,"(34.2863475, -118.5084525)",PM2.5_Concentration_2014_1400000US06037106642,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.18041039,"Census Tract 1066.43, Los Angeles County, California",106643,Granada Hills,1400000US06037106643,"(34.289784, -118.524711)",PM2.5_Concentration_2014_1400000US06037106643,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.25432448,"Census Tract 1066.45, Los Angeles County, California",106645,Granada Hills,1400000US06037106645,"(34.2905125, -118.4928915)",PM2.5_Concentration_2014_1400000US06037106645,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.36121994,"Census Tract 1066.46, Los Angeles County, California",106646,Granada Hills,1400000US06037106646,"(34.2790905, -118.4941245)",PM2.5_Concentration_2014_1400000US06037106646,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.33624158,"Census Tract 1066.48, Los Angeles County, California",106648,Sylmar,1400000US06037106648,"(34.293406, -118.4556035)",PM2.5_Concentration_2014_1400000US06037106648,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.36242837,"Census Tract 1066.49, Los Angeles County, California",106649,Sylmar,1400000US06037106649,"(34.288747, -118.4611105)",PM2.5_Concentration_2014_1400000US06037106649,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.26721628,"Census Tract 1070.10, Los Angeles County, California",107010,Sylmar,1400000US06037107010,"(34.302027, -118.446501)",PM2.5_Concentration_2014_1400000US06037107010,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.30449206,"Census Tract 1070.20, Los Angeles County, California",107020,Sylmar,1400000US06037107020,"(34.2975345, -118.4503905)",PM2.5_Concentration_2014_1400000US06037107020,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.21218914,"Census Tract 1081.01, Los Angeles County, California",108101,Porter Ranch,1400000US06037108101,"(34.280038, -118.5413715)",PM2.5_Concentration_2014_1400000US06037108101,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.15634355,"Census Tract 1081.02, Los Angeles County, California",108102,Porter Ranch,1400000US06037108102,"(34.280795, -118.55492)",PM2.5_Concentration_2014_1400000US06037108102,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.15148938,"Census Tract 1081.03, Los Angeles County, California",108103,Porter Ranch,1400000US06037108103,"(34.2860705, -118.542893)",PM2.5_Concentration_2014_1400000US06037108103,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.05894853,"Census Tract 1081.04, Los Angeles County, California",108104,Porter Ranch,1400000US06037108104,"(34.2939525, -118.5470515)",PM2.5_Concentration_2014_1400000US06037108104,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.06726784,"Census Tract 1082.01, Los Angeles County, California",108201,Porter Ranch,1400000US06037108201,"(34.2857885, -118.562083)",PM2.5_Concentration_2014_1400000US06037108201,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.00800921,"Census Tract 1082.02, Los Angeles County, California",108202,Chatsworth,1400000US06037108202,"(34.288396, -118.581814)",PM2.5_Concentration_2014_1400000US06037108202,1/1/14
